YEAR,LocationAbbr,LocationDesc,TopicType,TopicDesc,MeasureDesc,DataSource,Response,Data_Value_Unit,Data_Value_Type,Data_Value,Data_Value_Std_Err,Low_Confidence_Limit,High_Confidence_Limit,Sample_Size,Gender,Race,Age,Education,GeoLocation,TopicTypeId,TopicId,MeasureId,StratificationID1,StratificationID2,StratificationID3,StratificationID4,SubMeasureID,DisplayOrder
2002,FL,Florida,Tobacco Use – Survey Data,Smokeless Tobacco Use (Youth),User Status,YTS,Ever,%,Percentage,96.1,0.4,95.3,97.0,7487.0,Overall,All Races,All Ages,High School,"(28.932040377, -81.928960539)",BEH,151BEH,169USS,1GEN,8AGE,6RAC,2EDU,YTS11,11
2001,FL,Florida,Tobacco Use – Survey Data,Cessation (Youth),Quit Attempt in Past Year Among Current Cigarette Smokers,YTS,None,%,Percentage,60.8,3.0,54.9,66.7,397.0,Female,All Races,All Ages,High School,"(28.932040377, -81.928960539)",BEH,105BEH,169QUA,3GEN,8AGE,6RAC,2EDU,YTS06,6
2002,FL,Florida,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Ever,%,Percentage,51.8,1.6,48.7,55.0,8849.0,Overall,All Races,All Ages,High School,"(28.932040377, -81.928960539)",BEH,106BEH,166SSA,1GEN,8AGE,6RAC,2EDU,YTS08,8
2001,FL,Florida,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Ever,%,Percentage,53.6,1.7,50.3,56.9,2030.0,Male,All Races,All Ages,High School,"(28.932040377, -81.928960539)",BEH,106BEH,166SSA,2GEN,8AGE,6RAC,2EDU,YTS08,8
2001,FL,Florida,Tobacco Use – Survey Data,Smokeless Tobacco Use (Youth),User Status,YTS,Current,%,Percentage,1.5,0.3,1.0,2.0,2192.0,Female,All Races,All Ages,Middle School,"(28.932040377, -81.928960539)",BEH,151BEH,169USS,3GEN,8AGE,6RAC,1EDU,YTS10,10
2002,FL,Florida,Tobacco Use – Survey Data,Smokeless Tobacco Use (Youth),User Status,YTS,Ever,%,Percentage,97.9,0.2,97.6,98.3,13631.0,Overall,All Races,All Ages,Middle School,"(28.932040377, -81.928960539)",BEH,151BEH,169USS,1GEN,8AGE,6RAC,1EDU,YTS11,11
2001,FL,Florida,Tobacco Use – Survey Data,Smokeless Tobacco Use (Youth),User Status,YTS,Current,%,Percentage,4.5,0.6,3.3,5.7,2125.0,Male,All Races,All Ages,Middle School,"(28.932040377, -81.928960539)",BEH,151BEH,169USS,2GEN,8AGE,6RAC,1EDU,YTS10,10
2001,FL,Florida,Tobacco Use – Survey Data,Smokeless Tobacco Use (Youth),User Status,YTS,Ever,%,Percentage,5.9,0.6,4.7,7.1,4322.0,Overall,All Races,All Ages,Middle School,"(28.932040377, -81.928960539)",BEH,151BEH,169USS,1GEN,8AGE,6RAC,1EDU,YTS11,11
2001,FL,Florida,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Ever,%,Percentage,53.7,1.5,50.8,56.6,4261.0,Overall,All Races,All Ages,High School,"(28.932040377, -81.928960539)",BEH,106BEH,166SSA,1GEN,8AGE,6RAC,2EDU,YTS08,8
2002,FL,Florida,Tobacco Use – Survey Data,Smokeless Tobacco Use (Youth),User Status,YTS,Ever,%,Percentage,98.0,0.2,97.5,98.4,6629.0,Male,All Races,All Ages,Middle School,"(28.932040377, -81.928960539)",BEH,151BEH,169USS,2GEN,8AGE,6RAC,1EDU,YTS11,11
2001,FL,Florida,Tobacco Use – Survey Data,Cessation (Youth),Quit Attempt in Past Year Among Current Cigarette Smokers,YTS,None,%,Percentage,52.6,2.6,47.6,57.6,366.0,Male,All Races,All Ages,High School,"(28.932040377, -81.928960539)",BEH,105BEH,169QUA,2GEN,8AGE,6RAC,2EDU,YTS05,5
2002,FL,Florida,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Current,%,Percentage,19.0,1.4,16.2,21.7,8846.0,Overall,All Races,All Ages,High School,"(28.932040377, -81.928960539)",BEH,106BEH,166SSA,1GEN,8AGE,6RAC,2EDU,YTS07,7
2001,FL,Florida,Tobacco Use – Survey Data,Smokeless Tobacco Use (Youth),User Status,YTS,Frequent,%,Percentage,0.8,0.2,0.5,1.1,4317.0,Overall,All Races,All Ages,Middle School,"(28.932040377, -81.928960539)",BEH,151BEH,169USS,1GEN,8AGE,6RAC,1EDU,YTS12,12
2002,FL,Florida,Tobacco Use – Survey Data,Cessation (Youth),Percent of Current Smokers Who Want to Quit,YTS,None,%,Percentage,51.6,2.9,45.8,57.3,634.0,Male,All Races,All Ages,Middle School,"(28.932040377, -81.928960539)",BEH,105BEH,170CES,2GEN,8AGE,6RAC,1EDU,YTS02,2
2002,FL,Florida,Tobacco Use – Survey Data,Cessation (Youth),Percent of Current Smokers Who Want to Quit,YTS,None,%,Percentage,56.4,1.2,54.1,58.8,1497.0,Overall,All Races,All Ages,High School,"(28.932040377, -81.928960539)",BEH,105BEH,170CES,1GEN,8AGE,6RAC,2EDU,YTS01,1
2001,FL,Florida,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Ever,%,Percentage,32.4,1.5,29.5,35.3,2110.0,Male,All Races,All Ages,Middle School,"(28.932040377, -81.928960539)",BEH,106BEH,166SSA,2GEN,8AGE,6RAC,1EDU,YTS08,8
2001,FL,Florida,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Current,%,Percentage,19.1,1.0,17.1,21.1,1978.0,Male,All Races,All Ages,High School,"(28.932040377, -81.928960539)",BEH,106BEH,166SSA,2GEN,8AGE,6RAC,2EDU,YTS07,7
2001,FL,Florida,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Ever,%,Percentage,32.1,1.5,29.2,35.0,4296.0,Overall,All Races,All Ages,Middle School,"(28.932040377, -81.928960539)",BEH,106BEH,166SSA,1GEN,8AGE,6RAC,1EDU,YTS08,8
2001,FL,Florida,Tobacco Use – Survey Data,Smokeless Tobacco Use (Youth),User Status,YTS,Ever,%,Percentage,3.9,0.5,3.0,4.8,2248.0,Female,All Races,All Ages,High School,"(28.932040377, -81.928960539)",BEH,151BEH,169USS,3GEN,8AGE,6RAC,2EDU,YTS11,11
2001,FL,Florida,Tobacco Use – Survey Data,Smokeless Tobacco Use (Youth),User Status,YTS,Frequent,%,Percentage,0.3,0.1,0.1,0.5,2247.0,Female,All Races,All Ages,High School,"(28.932040377, -81.928960539)",BEH,151BEH,169USS,3GEN,8AGE,6RAC,2EDU,YTS12,12
2002,FL,Florida,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Current,%,Percentage,18.9,2.0,14.9,22.9,4607.0,Female,All Races,All Ages,High School,"(28.932040377, -81.928960539)",BEH,106BEH,166SSA,3GEN,8AGE,6RAC,2EDU,YTS07,7
2001,FL,Florida,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Frequent,%,Percentage,8.5,0.6,7.4,9.6,4171.0,Overall,All Races,All Ages,High School,"(28.932040377, -81.928960539)",BEH,106BEH,166SSA,1GEN,8AGE,6RAC,2EDU,YTS09,9
2001,FL,Florida,Tobacco Use – Survey Data,Smokeless Tobacco Use (Youth),User Status,YTS,Frequent,%,Percentage,0.2,0.1,0.0,0.4,2192.0,Female,All Races,All Ages,Middle School,"(28.932040377, -81.928960539)",BEH,151BEH,169USS,3GEN,8AGE,6RAC,1EDU,YTS12,12
2001,FL,Florida,Tobacco Use – Survey Data,Cessation (Youth),Quit Attempt in Past Year Among Current Cigarette Smokers,YTS,None,%,Percentage,56.6,1.7,53.3,59.9,763.0,Overall,All Races,All Ages,High School,"(28.932040377, -81.928960539)",BEH,105BEH,169QUA,1GEN,8AGE,6RAC,2EDU,YTS04,4
2002,FL,Florida,Tobacco Use – Survey Data,Smokeless Tobacco Use (Youth),User Status,YTS,Current,%,Percentage,6.9,0.7,5.5,8.3,14653.0,Overall,All Races,All Ages,Middle School,"(28.932040377, -81.928960539)",BEH,151BEH,169USS,1GEN,8AGE,6RAC,1EDU,YTS10,10
2001,FL,Florida,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Current,%,Percentage,9.5,1.0,7.6,11.4,2144.0,Female,All Races,All Ages,Middle School,"(28.932040377, -81.928960539)",BEH,106BEH,166SSA,3GEN,8AGE,6RAC,1EDU,YTS07,7
2002,FL,Florida,Tobacco Use – Survey Data,Cessation (Youth),Quit Attempt in Past Year Among Current Cigarette Smokers,YTS,None,%,Percentage,53.2,1.7,49.8,56.6,753.0,Male,All Races,All Ages,High School,"(28.932040377, -81.928960539)",BEH,105BEH,169QUA,2GEN,8AGE,6RAC,2EDU,YTS05,5
2001,FL,Florida,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Current,%,Percentage,19.0,1.1,16.9,21.1,4171.0,Overall,All Races,All Ages,High School,"(28.932040377, -81.928960539)",BEH,106BEH,166SSA,1GEN,8AGE,6RAC,2EDU,YTS07,7
2001,FL,Florida,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Frequent,%,Percentage,1.5,0.4,0.7,2.3,2144.0,Female,All Races,All Ages,Middle School,"(28.932040377, -81.928960539)",BEH,106BEH,166SSA,3GEN,8AGE,6RAC,1EDU,YTS09,9
2001,FL,Florida,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Current,%,Percentage,9.8,0.8,8.2,11.4,4224.0,Overall,All Races,All Ages,Middle School,"(28.932040377, -81.928960539)",BEH,106BEH,166SSA,1GEN,8AGE,6RAC,1EDU,YTS07,7
2002,FL,Florida,Tobacco Use – Survey Data,Smokeless Tobacco Use (Youth),User Status,YTS,Frequent,%,Percentage,0.7,0.2,0.3,1.2,4411.0,Female,All Races,All Ages,High School,"(28.932040377, -81.928960539)",BEH,151BEH,169USS,3GEN,8AGE,6RAC,2EDU,YTS12,12
2002,FL,Florida,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Ever,%,Percentage,30.3,1.6,27.2,33.4,15100.0,Overall,All Races,All Ages,Middle School,"(28.932040377, -81.928960539)",BEH,106BEH,166SSA,1GEN,8AGE,6RAC,1EDU,YTS08,8
2002,FL,Florida,Tobacco Use – Survey Data,Smokeless Tobacco Use (Youth),User Status,YTS,Ever,%,Percentage,97.9,0.2,97.5,98.3,7002.0,Female,All Races,All Ages,Middle School,"(28.932040377, -81.928960539)",BEH,151BEH,169USS,3GEN,8AGE,6RAC,1EDU,YTS11,11
2001,FL,Florida,Tobacco Use – Survey Data,Smokeless Tobacco Use (Youth),User Status,YTS,Ever,%,Percentage,2.9,0.4,2.1,3.7,2190.0,Female,All Races,All Ages,Middle School,"(28.932040377, -81.928960539)",BEH,151BEH,169USS,3GEN,8AGE,6RAC,1EDU,YTS11,11
2001,FL,Florida,Tobacco Use – Survey Data,Cessation (Youth),Percent of Current Smokers Who Want to Quit,YTS,None,%,Percentage,55.5,1.8,52.0,59.0,703.0,Overall,All Races,All Ages,High School,"(28.932040377, -81.928960539)",BEH,105BEH,170CES,1GEN,8AGE,6RAC,2EDU,YTS01,1
2001,FL,Florida,Tobacco Use – Survey Data,Cessation (Youth),Percent of Current Smokers Who Want to Quit,YTS,None,%,Percentage,58.2,3.4,51.5,64.9,374.0,Female,All Races,All Ages,High School,"(28.932040377, -81.928960539)",BEH,105BEH,170CES,3GEN,8AGE,6RAC,2EDU,YTS03,3
2001,FL,Florida,Tobacco Use – Survey Data,Smokeless Tobacco Use (Youth),User Status,YTS,Ever,%,Percentage,10.7,0.9,8.9,12.5,4300.0,Overall,All Races,All Ages,High School,"(28.932040377, -81.928960539)",BEH,151BEH,169USS,1GEN,8AGE,6RAC,2EDU,YTS11,11
2001,FL,Florida,Tobacco Use – Survey Data,Smokeless Tobacco Use (Youth),User Status,YTS,Frequent,%,Percentage,1.4,0.3,0.8,2.0,2125.0,Male,All Races,All Ages,Middle School,"(28.932040377, -81.928960539)",BEH,151BEH,169USS,2GEN,8AGE,6RAC,1EDU,YTS12,12
2001,FL,Florida,Tobacco Use – Survey Data,Cessation (Youth),Percent of Current Smokers Who Want to Quit,YTS,None,%,Percentage,52.8,2.9,47.2,58.4,329.0,Male,All Races,All Ages,High School,"(28.932040377, -81.928960539)",BEH,105BEH,170CES,2GEN,8AGE,6RAC,2EDU,YTS02,2
2002,FL,Florida,Tobacco Use – Survey Data,Smokeless Tobacco Use (Youth),User Status,YTS,Current,%,Percentage,2.3,0.3,1.6,2.9,4411.0,Female,All Races,All Ages,High School,"(28.932040377, -81.928960539)",BEH,151BEH,169USS,3GEN,8AGE,6RAC,2EDU,YTS10,10
2002,FL,Florida,Tobacco Use – Survey Data,Smokeless Tobacco Use (Youth),User Status,YTS,Frequent,%,Percentage,1.5,0.2,1.1,2.0,7553.0,Female,All Races,All Ages,Middle School,"(28.932040377, -81.928960539)",BEH,151BEH,169USS,3GEN,8AGE,6RAC,1EDU,YTS12,12
2001,FL,Florida,Tobacco Use – Survey Data,Smokeless Tobacco Use (Youth),User Status,YTS,Frequent,%,Percentage,3.1,0.6,2.0,4.2,2046.0,Male,All Races,All Ages,High School,"(28.932040377, -81.928960539)",BEH,151BEH,169USS,2GEN,8AGE,6RAC,2EDU,YTS12,12
2002,FL,Florida,Tobacco Use – Survey Data,Cessation (Youth),Percent of Current Smokers Who Want to Quit,YTS,None,%,Percentage,52.9,1.3,50.3,55.5,1311.0,Overall,All Races,All Ages,Middle School,"(28.932040377, -81.928960539)",BEH,105BEH,170CES,1GEN,8AGE,6RAC,1EDU,YTS01,1
2001,FL,Florida,Tobacco Use – Survey Data,Cessation (Youth),Quit Attempt in Past Year Among Current Cigarette Smokers,YTS,None,%,Percentage,54.1,4.0,46.3,61.9,194.0,Male,All Races,All Ages,Middle School,"(28.932040377, -81.928960539)",BEH,105BEH,169QUA,2GEN,8AGE,6RAC,1EDU,YTS05,5
2001,FL,Florida,Tobacco Use – Survey Data,Cessation (Youth),Quit Attempt in Past Year Among Current Cigarette Smokers,YTS,None,%,Percentage,59.0,3.6,52.0,66.0,186.0,Female,All Races,All Ages,Middle School,"(28.932040377, -81.928960539)",BEH,105BEH,169QUA,3GEN,8AGE,6RAC,1EDU,YTS06,6
2001,FL,Florida,Tobacco Use – Survey Data,Cessation (Youth),Quit Attempt in Past Year Among Current Cigarette Smokers,YTS,None,%,Percentage,56.4,2.7,51.2,61.6,380.0,Overall,All Races,All Ages,Middle School,"(28.932040377, -81.928960539)",BEH,105BEH,169QUA,1GEN,8AGE,6RAC,1EDU,YTS04,4
2002,FL,Florida,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Ever,%,Percentage,51.6,2.0,47.6,55.6,4617.0,Female,All Races,All Ages,High School,"(28.932040377, -81.928960539)",BEH,106BEH,166SSA,3GEN,8AGE,6RAC,2EDU,YTS08,8
2001,FL,Florida,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Current,%,Percentage,19.0,1.6,15.9,22.1,2193.0,Female,All Races,All Ages,High School,"(28.932040377, -81.928960539)",BEH,106BEH,166SSA,3GEN,8AGE,6RAC,2EDU,YTS07,7
2001,FL,Florida,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Frequent,%,Percentage,2.7,0.5,1.8,3.6,2080.0,Male,All Races,All Ages,Middle School,"(28.932040377, -81.928960539)",BEH,106BEH,166SSA,2GEN,8AGE,6RAC,1EDU,YTS09,9
2002,FL,Florida,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Frequent,%,Percentage,7.5,1.0,5.6,9.4,8846.0,Overall,All Races,All Ages,High School,"(28.932040377, -81.928960539)",BEH,106BEH,166SSA,1GEN,8AGE,6RAC,2EDU,YTS09,9
2002,FL,Florida,Tobacco Use – Survey Data,Cessation (Youth),Quit Attempt in Past Year Among Current Cigarette Smokers,YTS,None,%,Percentage,56.6,1.4,53.8,59.4,1461.0,Overall,All Races,All Ages,Middle School,"(28.932040377, -81.928960539)",BEH,105BEH,169QUA,1GEN,8AGE,6RAC,1EDU,YTS04,4
2002,FL,Florida,Tobacco Use – Survey Data,Smokeless Tobacco Use (Youth),User Status,YTS,Current,%,Percentage,5.9,0.7,4.6,7.3,8118.0,Overall,All Races,All Ages,High School,"(28.932040377, -81.928960539)",BEH,151BEH,169USS,1GEN,8AGE,6RAC,2EDU,YTS10,10
2001,FL,Florida,Tobacco Use – Survey Data,Cessation (Youth),Percent of Current Smokers Who Want to Quit,YTS,None,%,Percentage,49.7,4.4,41.1,58.3,167.0,Female,All Races,All Ages,Middle School,"(28.932040377, -81.928960539)",BEH,105BEH,170CES,3GEN,8AGE,6RAC,1EDU,YTS03,3
2001,FL,Florida,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Ever,%,Percentage,31.8,1.7,28.4,35.2,2186.0,Female,All Races,All Ages,Middle School,"(28.932040377, -81.928960539)",BEH,106BEH,166SSA,3GEN,8AGE,6RAC,1EDU,YTS08,8
2002,FL,Florida,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Current,%,Percentage,9.7,1.0,7.8,11.6,7761.0,Female,All Races,All Ages,Middle School,"(28.932040377, -81.928960539)",BEH,106BEH,166SSA,3GEN,8AGE,6RAC,1EDU,YTS07,7
2001,FL,Florida,Tobacco Use – Survey Data,Cessation (Youth),Percent of Current Smokers Who Want to Quit,YTS,None,%,Percentage,52.1,2.9,46.4,57.8,339.0,Overall,All Races,All Ages,Middle School,"(28.932040377, -81.928960539)",BEH,105BEH,170CES,1GEN,8AGE,6RAC,1EDU,YTS01,1
2002,FL,Florida,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Frequent,%,Percentage,1.9,0.4,1.2,2.7,7761.0,Female,All Races,All Ages,Middle School,"(28.932040377, -81.928960539)",BEH,106BEH,166SSA,3GEN,8AGE,6RAC,1EDU,YTS09,9
2002,FL,Florida,Tobacco Use – Survey Data,Cessation (Youth),Percent of Current Smokers Who Want to Quit,YTS,None,%,Percentage,59.6,1.4,56.9,62.4,797.0,Female,All Races,All Ages,High School,"(28.932040377, -81.928960539)",BEH,105BEH,170CES,3GEN,8AGE,6RAC,2EDU,YTS03,3
2002,FL,Florida,Tobacco Use – Survey Data,Cessation (Youth),Quit Attempt in Past Year Among Current Cigarette Smokers,YTS,None,%,Percentage,60.9,1.5,58.0,63.8,853.0,Female,All Races,All Ages,High School,"(28.932040377, -81.928960539)",BEH,105BEH,169QUA,3GEN,8AGE,6RAC,2EDU,YTS06,6
2002,FL,Florida,Tobacco Use – Survey Data,Cessation (Youth),Quit Attempt in Past Year Among Current Cigarette Smokers,YTS,None,%,Percentage,53.9,3.0,47.9,59.8,722.0,Male,All Races,All Ages,Middle School,"(28.932040377, -81.928960539)",BEH,105BEH,169QUA,2GEN,8AGE,6RAC,1EDU,YTS05,5
2002,FL,Florida,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Frequent,%,Percentage,2.3,0.3,1.7,3.0,15150.0,Overall,All Races,All Ages,Middle School,"(28.932040377, -81.928960539)",BEH,106BEH,166SSA,1GEN,8AGE,6RAC,1EDU,YTS09,9
2002,FL,Florida,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Ever,%,Percentage,52.1,1.3,49.4,54.7,4232.0,Male,All Races,All Ages,High School,"(28.932040377, -81.928960539)",BEH,106BEH,166SSA,2GEN,8AGE,6RAC,2EDU,YTS08,8
2001,FL,Florida,Tobacco Use – Survey Data,Smokeless Tobacco Use (Youth),User Status,YTS,Ever,%,Percentage,8.7,1.0,6.8,10.6,2132.0,Male,All Races,All Ages,Middle School,"(28.932040377, -81.928960539)",BEH,151BEH,169USS,2GEN,8AGE,6RAC,1EDU,YTS11,11
2002,FL,Florida,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Current,%,Percentage,10.1,0.9,8.4,11.8,15150.0,Overall,All Races,All Ages,Middle School,"(28.932040377, -81.928960539)",BEH,106BEH,166SSA,1GEN,8AGE,6RAC,1EDU,YTS07,7
2001,FL,Florida,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Frequent,%,Percentage,8.7,0.9,7.0,10.4,2193.0,Female,All Races,All Ages,High School,"(28.932040377, -81.928960539)",BEH,106BEH,166SSA,3GEN,8AGE,6RAC,2EDU,YTS09,9
2002,FL,Florida,Tobacco Use – Survey Data,Smokeless Tobacco Use (Youth),User Status,YTS,Current,%,Percentage,4.0,0.5,3.1,4.9,7553.0,Female,All Races,All Ages,Middle School,"(28.932040377, -81.928960539)",BEH,151BEH,169USS,3GEN,8AGE,6RAC,1EDU,YTS10,10
2001,FL,Florida,Tobacco Use – Survey Data,Smokeless Tobacco Use (Youth),User Status,YTS,Current,%,Percentage,3.0,0.4,2.3,3.7,4317.0,Overall,All Races,All Ages,Middle School,"(28.932040377, -81.928960539)",BEH,151BEH,169USS,1GEN,8AGE,6RAC,1EDU,YTS10,10
2002,FL,Florida,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Ever,%,Percentage,29.1,1.6,25.8,32.3,7737.0,Female,All Races,All Ages,Middle School,"(28.932040377, -81.928960539)",BEH,106BEH,166SSA,3GEN,8AGE,6RAC,1EDU,YTS08,8
2002,FL,Florida,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Frequent,%,Percentage,2.7,0.3,2.0,3.4,7389.0,Male,All Races,All Ages,Middle School,"(28.932040377, -81.928960539)",BEH,106BEH,166SSA,2GEN,8AGE,6RAC,1EDU,YTS09,9
2001,FL,Florida,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Ever,%,Percentage,53.7,1.8,50.2,57.2,2231.0,Female,All Races,All Ages,High School,"(28.932040377, -81.928960539)",BEH,106BEH,166SSA,3GEN,8AGE,6RAC,2EDU,YTS08,8
2002,FL,Florida,Tobacco Use – Survey Data,Smokeless Tobacco Use (Youth),User Status,YTS,Current,%,Percentage,9.7,0.9,7.9,11.5,7100.0,Male,All Races,All Ages,Middle School,"(28.932040377, -81.928960539)",BEH,151BEH,169USS,2GEN,8AGE,6RAC,1EDU,YTS10,10
2002,FL,Florida,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Ever,%,Percentage,31.5,1.7,28.2,34.7,7363.0,Male,All Races,All Ages,Middle School,"(28.932040377, -81.928960539)",BEH,106BEH,166SSA,2GEN,8AGE,6RAC,1EDU,YTS08,8
2001,FL,Florida,Tobacco Use – Survey Data,Smokeless Tobacco Use (Youth),User Status,YTS,Current,%,Percentage,1.4,0.2,1.0,1.8,2247.0,Female,All Races,All Ages,High School,"(28.932040377, -81.928960539)",BEH,151BEH,169USS,3GEN,8AGE,6RAC,2EDU,YTS10,10
2002,FL,Florida,Tobacco Use – Survey Data,Smokeless Tobacco Use (Youth),User Status,YTS,Ever,%,Percentage,96.2,0.4,95.5,96.9,3575.0,Male,All Races,All Ages,High School,"(28.932040377, -81.928960539)",BEH,151BEH,169USS,2GEN,8AGE,6RAC,2EDU,YTS11,11
2002,FL,Florida,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Frequent,%,Percentage,7.3,1.2,5.0,9.6,4607.0,Female,All Races,All Ages,High School,"(28.932040377, -81.928960539)",BEH,106BEH,166SSA,3GEN,8AGE,6RAC,2EDU,YTS09,9
2002,FL,Florida,Tobacco Use – Survey Data,Smokeless Tobacco Use (Youth),User Status,YTS,Current,%,Percentage,9.8,1.2,7.4,12.2,3707.0,Male,All Races,All Ages,High School,"(28.932040377, -81.928960539)",BEH,151BEH,169USS,2GEN,8AGE,6RAC,2EDU,YTS10,10
2001,FL,Florida,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Frequent,%,Percentage,2.1,0.4,1.4,2.8,4224.0,Overall,All Races,All Ages,Middle School,"(28.932040377, -81.928960539)",BEH,106BEH,166SSA,1GEN,8AGE,6RAC,1EDU,YTS09,9
2001,FL,Florida,Tobacco Use – Survey Data,Cessation (Youth),Percent of Current Smokers Who Want to Quit,YTS,None,%,Percentage,54.2,4.1,46.2,62.2,172.0,Male,All Races,All Ages,Middle School,"(28.932040377, -81.928960539)",BEH,105BEH,170CES,2GEN,8AGE,6RAC,1EDU,YTS02,2
2002,FL,Florida,Tobacco Use – Survey Data,Cessation (Youth),Quit Attempt in Past Year Among Current Cigarette Smokers,YTS,None,%,Percentage,57.1,1.1,54.9,59.2,1606.0,Overall,All Races,All Ages,High School,"(28.932040377, -81.928960539)",BEH,105BEH,169QUA,1GEN,8AGE,6RAC,2EDU,YTS04,4
2002,FL,Florida,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Current,%,Percentage,19.0,0.9,17.3,20.7,4239.0,Male,All Races,All Ages,High School,"(28.932040377, -81.928960539)",BEH,106BEH,166SSA,2GEN,8AGE,6RAC,2EDU,YTS07,7
2001,FL,Florida,Tobacco Use – Survey Data,Smokeless Tobacco Use (Youth),User Status,YTS,Ever,%,Percentage,17.4,1.5,14.4,20.4,2052.0,Male,All Races,All Ages,High School,"(28.932040377, -81.928960539)",BEH,151BEH,169USS,2GEN,8AGE,6RAC,2EDU,YTS11,11
2002,FL,Florida,Tobacco Use – Survey Data,Cessation (Youth),Percent of Current Smokers Who Want to Quit,YTS,None,%,Percentage,53.2,1.8,49.7,56.8,700.0,Male,All Races,All Ages,High School,"(28.932040377, -81.928960539)",BEH,105BEH,170CES,2GEN,8AGE,6RAC,2EDU,YTS02,2
2001,FL,Florida,Tobacco Use – Survey Data,Smokeless Tobacco Use (Youth),User Status,YTS,Current,%,Percentage,8.5,0.9,6.7,10.3,2046.0,Male,All Races,All Ages,High School,"(28.932040377, -81.928960539)",BEH,151BEH,169USS,2GEN,8AGE,6RAC,2EDU,YTS10,10
2002,FL,Florida,Tobacco Use – Survey Data,Cessation (Youth),Percent of Current Smokers Who Want to Quit,YTS,None,%,Percentage,54.4,1.9,50.6,58.1,677.0,Female,All Races,All Ages,Middle School,"(28.932040377, -81.928960539)",BEH,105BEH,170CES,3GEN,8AGE,6RAC,1EDU,YTS03,3
2002,FL,Florida,Tobacco Use – Survey Data,Smokeless Tobacco Use (Youth),User Status,YTS,Frequent,%,Percentage,2.4,0.3,1.8,3.1,8118.0,Overall,All Races,All Ages,High School,"(28.932040377, -81.928960539)",BEH,151BEH,169USS,1GEN,8AGE,6RAC,2EDU,YTS12,12
2002,FL,Florida,Tobacco Use – Survey Data,Smokeless Tobacco Use (Youth),User Status,YTS,Frequent,%,Percentage,2.6,0.3,1.9,3.3,14653.0,Overall,All Races,All Ages,Middle School,"(28.932040377, -81.928960539)",BEH,151BEH,169USS,1GEN,8AGE,6RAC,1EDU,YTS12,12
2001,FL,Florida,Tobacco Use – Survey Data,Smokeless Tobacco Use (Youth),User Status,YTS,Frequent,%,Percentage,1.7,0.3,1.1,2.3,4293.0,Overall,All Races,All Ages,High School,"(28.932040377, -81.928960539)",BEH,151BEH,169USS,1GEN,8AGE,6RAC,2EDU,YTS12,12
2002,FL,Florida,Tobacco Use – Survey Data,Smokeless Tobacco Use (Youth),User Status,YTS,Frequent,%,Percentage,3.6,0.5,2.7,4.5,7100.0,Male,All Races,All Ages,Middle School,"(28.932040377, -81.928960539)",BEH,151BEH,169USS,2GEN,8AGE,6RAC,1EDU,YTS12,12
2002,FL,Florida,Tobacco Use – Survey Data,Smokeless Tobacco Use (Youth),User Status,YTS,Ever,%,Percentage,96.0,0.6,94.9,97.2,3912.0,Female,All Races,All Ages,High School,"(28.932040377, -81.928960539)",BEH,151BEH,169USS,3GEN,8AGE,6RAC,2EDU,YTS11,11
